file_short_name,twitter_handle
cmu_twitter-search.json,twitter.com/mldcmu
colorado_twitter-search.json,twitter.com/cuboulder
colorado_twitter-search.json,twitter.com/cusystem
colorado_twitter-search.json,twitter.com/cuboulderpolice
colorado_twitter-search.json,twitter.com/cuboulderalerts
colorado_twitter-search.json,twitter.com/cuengineering
colorado_twitter-search.json,twitter.com/cuboulderlife
colorado_twitter-search.json,twitter.com/futurebuffs
colorado_twitter-search.json,twitter.com/cololaw
colorado_twitter-search.json,twitter.com/cubuffshockey
columbia_twitter-search.json,twitter.com/columbia
columbia_twitter-search.json,twitter.com/columbiaulife
columbia_twitter-search.json,twitter.com/columbialib
columbia_twitter-search.json,twitter.com/hamiltonhall
columbia_twitter-search.json,twitter.com/gocolumbialions
columbia_twitter-search.json,twitter.com/columbiajourn
columbia_twitter-search.json,twitter.com/columbialaw
columbia_twitter-search.json,twitter.com/columbia_biz
columbia_twitter-search.json,twitter.com/columbiaps
cornell_twitter-search.json,twitter.com/cornell
cornell_twitter-search.json,twitter.com/cornelluao
cornell_twitter-search.json,twitter.com/cornellsports
cornell_twitter-search.json,twitter.com/cornellnews
cornell_twitter-search.json,twitter.com/cornell_tech
cornell_twitter-search.json,twitter.com/cornellsun
cornell_twitter-search.json,twitter.com/cornellmba
cornell_twitter-search.json,twitter.com/cornellpress
cornell_twitter-search.json,twitter.com/cornellalumni
dartmouth_twitter-search.json,twitter.com/dartmouth
dartmouth_twitter-search.json,twitter.com/dartmouthsports
dartmouth_twitter-search.json,twitter.com/dartmouthalumni
dartmouth_twitter-search.json,twitter.com/dartmouthsball
dartmouth_twitter-search.json,twitter.com/geiselmed
dartmouth_twitter-search.json,twitter.com/dartmouthwbb
dartmouth_twitter-search.json,twitter.com/dartmouthre
dartmouth_twitter-search.json,twitter.com/dartmouthmlax
dartmouth_twitter-search.json,twitter.com/dartmouthmsoc
dartmouth_twitter-search.json,twitter.com/dartmouthreview
drexel_twitter-search.json,twitter.com/drexeluniv
drexel_twitter-search.json,twitter.com/drexelnews
drexel_twitter-search.json,twitter.com/drexeladmission
drexel_twitter-search.json,twitter.com/drexelnow
drexel_twitter-search.json,twitter.com/drexelpubhealth
drexel_twitter-search.json,twitter.com/drexelmbb
drexel_twitter-search.json,twitter.com/drexeldragons
drexel_twitter-search.json,twitter.com/drexelcci
drexel_twitter-search.json,twitter.com/drexelmsoccer
duke_twitter-search.json,twitter.com/dukeu
duke_twitter-search.json,twitter.com/dukenews
duke_twitter-search.json,twitter.com/dukepress
duke_twitter-search.json,twitter.com/dukembb
duke_twitter-search.json,twitter.com/dukestudents
duke_twitter-search.json,twitter.com/dukechronicle
duke_twitter-search.json,twitter.com/dukeathletics
duke_twitter-search.json,twitter.com/discoverduke
duke_twitter-search.json,twitter.com/dukefootball
emory_twitter-search.json,twitter.com/emoryuniversity
emory_twitter-search.json,twitter.com/emorynews
emory_twitter-search.json,twitter.com/emorycollege
emory_twitter-search.json,twitter.com/emoryadmission
emory_twitter-search.json,twitter.com/emoryhealthcare
emory_twitter-search.json,twitter.com/emorywheel
emory_twitter-search.json,twitter.com/emoryathletics
emory_twitter-search.json,twitter.com/emorygoizueta
emory_twitter-search.json,twitter.com/emorylaw
emory_twitter-search.json,twitter.com/emorymedicine
emory_twitter-search.json,twitter.com/emoryhealthsci
fordham_twitter-search.json,twitter.com/fordhamnyc
fordham_twitter-search.json,twitter.com/fordhamrams
fordham_twitter-search.json,twitter.com/fordhamgsb
fordham_twitter-search.json,twitter.com/fordhamfootball
